user_id,phonenumber,gas_annual_consumption,elec_annual_consumption
0,01 33 31 78 10,3549.0,1401.0
1,+33 1 73 08 84 11,,4855.0
2,+33 2 09 47 92 12,,3206.0
3,04 04 88 08 83,3528.0,1430.0
4,,,
5,+33 2 20 90 06 93,,3248.0
6,07 89 80 07 12,,4700.0
7,,,
8,+33 6 61 61 31 61,,4848.0
9,02 92 62 83 24,,4603.0
10,03 65 60 18 24,,3401.0
11,+33 1 12 47 21 50,,4652.0
12,,,
13,+33 6 68 99 48 73,,3959.0
14,+33 2 03 48 60 38,,3890.0
15,,,
16,,,
17,,,
18,+33 7 56 08 57 95,,4912.0
19,,,
20,02 46 54 57 96,,4837.0
21,,,
22,03 36 56 38 97,,4603.0
23,03 12 35 45 09,,4269.0
24,01 64 21 87 19,,3496.0
25,04 46 65 57 24,3109.0,1408.0
26,+33 6 61 34 79 59,,3449.0
27,+33 3 77 62 53 28,3069.0,
28,+33 6 96 63 56 57,3523.0,1281.0
29,,,
30,06 32 20 65 35,,4187.0
31,03 33 03 09 01,,3098.0
32,06 62 66 38 09,,4158.0
33,,,
34,+33 2 82 65 56 13,,4158.0
35,,,
36,02 11 34 36 50,,3969.0
37,,,
38,+33 3 89 39 65 54,3036.0,1674.0
39,+33 6 54 21 85 56,,4474.0
40,,,
41,06 34 18 75 16,,4340.0
42,,,
43,,,
44,,,
45,06 74 78 72 15,,4689.0
46,03 92 36 83 99,,3922.0
47,+33 3 05 65 39 51,,3320.0
48,+33 3 76 58 38 62,3879.0,1742.0
49,01 52 49 81 12,,4448.0
50,02 46 42 15 14,,3106.0
51,03 76 92 30 16,,3076.0
52,,,
53,,,
54,02 80 33 92 54,,3021.0
55,02 16 15 00 33,3757.0,1884.0
56,+33 2 22 92 22 70,,4010.0
57,+33 1 11 14 21 43,3246.0,
58,+33 3 13 54 40 89,3170.0,1841.0
59,06 11 21 66 34,,4906.0
60,+33 6 27 30 86 00,3508.0,1126.0
61,03 30 43 58 57,,4262.0
62,03 15 13 13 76,,3919.0
63,03 48 67 77 96,3083.0,1453.0
64,+33 1 10 74 07 89,3052.0,1044.0
65,,,
66,02 85 43 22 53,,3361.0
67,06 73 42 66 68,3945.0,1017.0
68,04 86 77 24 43,3133.0,1340.0
69,+33 2 43 44 45 50,,3397.0
70,06 76 65 96 29,3098.0,
71,06 90 60 62 68,,4838.0
72,,,
73,,,
74,03 73 17 02 57,,3006.0
75,+33 7 05 51 98 11,,4848.0
76,03 55 93 90 13,,3315.0
77,+33 1 40 16 08 62,,3807.0
78,07 87 33 78 09,,4853.0
79,,,
80,,,
81,,,
82,+33 3 08 04 35 48,3593.0,1620.0
83,,,
84,,,
85,+33 4 43 41 55 71,,3125.0
86,06 73 16 53 69,3561.0,1852.0
87,+33 4 87 15 68 45,3237.0,
88,+33 1 93 11 10 72,,3947.0
89,01 88 32 18 41,3142.0,1222.0
90,+33 4 10 48 24 54,,3563.0
91,01 91 74 11 32,,4720.0
92,,,
93,,,
94,,,
95,+33 6 51 88 36 63,,3326.0
96,,,
97,+33 6 27 48 35 48,,4772.0
98,+33 1 46 30 17 38,,3420.0
99,,,
100,+33 4 14 77 18 64,,3422.0
101,+33 6 33 79 13 14,,3164.0
102,06 87 23 64 46,3053.0,
103,+33 1 19 95 39 92,3428.0,1760.0
104,+33 6 35 42 95 24,3440.0,1115.0
105,+33 6 67 13 76 47,,4245.0
106,,,
107,,,
108,04 84 34 86 03,,4502.0
109,,,
110,,,
111,,,
112,+33 6 97 96 67 73,,4765.0
113,,,
114,,,
115,,,
116,+33 1 07 37 16 63,,3377.0
117,+33 6 26 48 60 64,,3661.0
118,+33 4 60 45 38 21,3044.0,1759.0
119,,,
120,,,
121,+33 1 01 95 74 34,,3714.0
122,+33 2 95 24 20 69,,3379.0
123,,,
124,01 26 07 80 21,,3234.0
125,,,
126,,,
127,04 47 36 48 50,3038.0,1501.0
128,04 00 32 06 04,,3944.0
129,06 46 26 33 61,,4861.0
130,,,
131,+33 1 92 93 00 21,3957.0,
132,,,
133,+33 1 77 21 80 11,3149.0,1078.0
134,06 19 64 14 21,3956.0,1948.0
135,,,
136,06 23 64 93 90,3080.0,1436.0
137,+33 2 35 49 67 54,,4214.0
138,,,
139,04 47 81 12 46,,3643.0
140,+33 3 01 36 73 53,,4153.0
141,,,
142,,,
143,,,
144,,,
145,+33 6 20 56 03 28,,3543.0
146,,,
147,02 63 81 95 39,,3091.0
148,02 01 63 11 18,,4801.0
149,,,
150,+33 6 45 43 59 35,,4407.0
151,+33 6 02 76 43 69,,3855.0
152,,,
153,,,
154,02 23 59 02 98,3465.0,1526.0
155,,,
156,06 79 69 78 82,,3995.0
157,,,
158,,,
159,+33 3 27 25 60 94,,4782.0
160,+33 2 79 36 93 62,,3001.0
